"Name","ICAO","Location"
"Berlin-Schönefeld","EDDB",
"Berlin-Tegel","EDDT",
"Braunschweig-Wolfsburg","EDVE",
"Bremen","EDDW",
"Dortmund","EDLW",
"Dresden","EDDC",
"Düsseldorf","EDDL",
"Erfurt-Weimar","EDDE",
"Essen/Mülheim","EDLE",
"Frankfurt Main","EDDF",
"Frankfurt-Hahn","EDFH",
"Friedrichshafen","EDNY",
"Hamburg","EDDH",
"Hannover-Langenhagen","EDDV",
"Heringsdorf","EDAH",
"Ingolstadt/Manching","ETSI",
"Karlsruhe/Baden-Baden","EDSB",
"Köln/Bonn","EDDK",
"Laage","ETNL",
"Lahr","EDTL",
"Leipzig/Halle","EDDP",
"Lübeck-Blankensee","EDHL",
"Magdeburg/Cochstedt","EDBC",
"Memmingen","EDJA",
"München","EDDM",
"Münster/Osnabrück","EDDG",
"Neubrandenburg","ETNU",
"Niederrhein","EDLV",
"Nordholz","ETMN",
"Nürnberg","EDDN",
"Oberpfaffenhofen","EDMO",
"Paderborn/Lippstadt","EDLP",
"Saarbrücken","EDDR",
"Schwerin-Parchim","EDOP",
"Siegerland","EDGS",
"Stralsund","EDBH",
"Stuttgart","EDDS",
"Sylt","EDXW",
"Zweibrücken","EDRZ",
