"Name","ICAO","Location"
"Agathazeller Moos",,"47° 33′ 25″ N, 10° 16′ 24″ O"
"Aichach",,"48° 28′ 36″ N, 11° 8′ 17″ O"
"Alsfeld",,"50° 45′ 3″ N, 9° 15′ 0″ O"
"Altdorf-Hagenhausen",,"49° 23′ 15″ N, 11° 25′ 21″ O"
"Alte Ems",,"53° 1′ 56″ N, 7° 18′ 22″ O"
"Altfeld",,"49° 49′ 58″ N, 9° 32′ 18″ O"
"Altötting",,"48° 13′ 2″ N, 12° 38′ 53″ O"
"Am Salzgittersee",,"52° 10′ 19″ N, 10° 19′ 3″ O"
"Am Staufenberg",,"51° 21′ 45″ N, 9° 37′ 43″ O"
"Amberg",,"49° 26′ 25″ N, 11° 48′ 40″ O"
"Amöneburg",,"50° 47′ 31″ N, 8° 54′ 29″ O"
"An den sieben Bergen",,"52° 3′ 33″ N, 9° 48′ 43″ O"
"Antersberg",,"47° 57′ 50″ N, 11° 59′ 48″ O"
"Arnsberg Ruhrwiese",,"51° 23′ 49″ N, 8° 4′ 1″ O"
"Asperden",,"51° 41′ 30″ N, 6° 6′ 18″ O"
"Aßlarer Hütte",,"50° 35′ 56″ N, 8° 26′ 42″ O"
"Aue bei Hattorf",,"51° 38′ 2″ N, 10° 15′ 12″ O"
"Aukrug",,"54° 3′ 57″ N, 9° 48′ 12″ O"
"Aurich-Brockzetel",,"53° 28′ 57″ N, 7° 39′ 27″ O"
"Aventoft",,"54° 53′ 48″ N, 8° 48′ 16″ O"
"Babenhausen",,"49° 56′ 59″ N, 8° 58′ 0″ O"
"Bad Brückenau",,"50° 16′ 22″ N, 9° 49′ 30″ O"
"Bad Königshofen",,"50° 17′ 18″ N, 10° 25′ 24″ O"
"Bad Marienberg",,"50° 39′ 43″ N, 8° 1′ 43″ O"
"Bad Wörishofen",,"48° 1′ 40″ N, 10° 36′ 10″ O"
"Bad Zwischenahn",,"53° 12′ 42″ N, 7° 59′ 25″ O"
"Baumerlenbach",,"49° 13′ 58″ N, 9° 25′ 13″ O"
"Benediktbeuern",,"47° 43′ 0″ N, 11° 23′ 30″ O"
"Bensheimer Stadtwiesen",,"49° 41′ 27″ N, 8° 35′ 1″ O"
"Bergheim",,"50° 57′ 57″ N, 6° 36′ 32″ O"
"Berliner Heide",,"52° 40′ 15″ N, 10° 22′ 16″ O"
"Berneck",,"48° 34′ 30″ N, 9° 43′ 48″ O"
"Bischofsberg",,"50° 26′ 0″ N, 10° 17′ 14″ O"
"Bisperode",,"52° 4′ 42″ N, 9° 28′ 36″ O"
"Blexen",,"53° 32′ 27″ N, 8° 32′ 30″ O"
"Boberg",,"53° 30′ 55″ N, 10° 9′ 19″ O"
"Bohlenberger Feld",,"53° 25′ 10″ N, 7° 54′ 18″ O"
"Bohlhof",,"47° 39′ 6″ N, 8° 23′ 16″ O"
"Bollrich",,"51° 54′ 25″ N, 10° 27′ 48″ O"
"Borghorst",,"52° 9′ 6″ N, 7° 27′ 16″ O"
"Brannenburg",,"47° 44′ 33″ N, 12° 6′ 58″ O"
"Braunfels",,"50° 31′ 19″ N, 8° 23′ 31″ O"
"Büchel",,"50° 10′ 29″ N, 7° 3′ 52″ O"
"Büchig",,"50° 26′ 58″ N, 10° 15′ 14″ O"
"Bückeburg",,"52° 15′ 11″ N, 9° 1′ 12″ O"
"Büren",,"51° 32′ 38″ N, 8° 34′ 58″ O"
"Bundenthal",,"49° 5′ 42″ N, 7° 47′ 38″ O"
"Celle-Scheuen",,"52° 40′ 6″ N, 10° 5′ 16″ O"
"Cham-Janahof",,"49° 12′ 39″ N, 12° 39′ 29″ O"
"Daun",,"50° 10′ 44″ N, 6° 51′ 54″ O"
"Deckenpfronn-Egelsee",,"48° 38′ 17″ N, 9° 16′ 42″ O"
"Degmann",,"49° 15′ 38″ N, 9° 16′ 46″ O"
"Dehausen",,"51° 27′ 51″ N, 9° 3′ 0″ O"
"Der Dingel",,"51° 32′ 17″ N, 9° 23′ 0″ O"
"Der Ring in Schwalmstadt",,"50° 53′ 32″ N, 9° 15′ 0″ O"
"Dillingen",,"49° 23′ 15″ N, 6° 44′ 59″ O"
"Dobenreuth",,"49° 41′ 26″ N, 11° 8′ 54″ O"
"Dornberg-Sontra",,"51° 5′ 20″ N, 9° 55′ 9″ O"
"Dorsten",,"51° 39′ 44″ N, 6° 59′ 11″ O"
"Dürabuch",,"48° 15′ 50″ N, 11° 12′ 40″ O"
"Düren-Hürtgenwald",,"50° 41′ 40″ N, 6° 25′ 6″ O"
"Düsseldorf-Wolfsaap",,"51° 15′ 57″ N, 6° 51′ 13″ O"
"Eibinger Forstwiese",,"50° 1′ 43″ N, 7° 53′ 54″ O"
"Emmerich",,"51° 49′ 26″ N, 6° 16′ 29″ O"
"Erbendorf",,"49° 50′ 40″ N, 12° 4′ 5″ O"
"Eschelohe",,"47° 37′ 29″ N, 11° 11′ 7″ O"
"Esslingen-Jägerhaus",,"48° 45′ 44″ N, 9° 20′ 8″ O"
"Eßweiler",,"49° 33′ 39″ N, 7° 34′ 46″ O"
"Etting",,"48° 48′ 43″ N, 11° 25′ 1″ O"
"Eudenbach",,"50° 40′ 23″ N, 7° 21′ 52″ O"
"Eutingen",,"48° 29′ 46″ N, 8° 46′ 48″ O"
"Farrenberg",,"48° 23′ 13″ N, 9° 4′ 40″ O"
"Fichtelbrunn",,"49° 29′ 57″ N, 11° 39′ 37″ O"
"Fischbek",,"53° 27′ 29″ N, 9° 50′ 0″ O"
"Friesener Warte",,"49° 50′ 14″ N, 11° 2′ 54″ O"
"Fürth",,"49° 28′ 59″ N, 10° 51′ 35″ O"
"Füssen",,"47° 35′ 6″ N, 10° 41′ 12″ O"
"Gammelsdorf",,"48° 34′ 31″ N, 11° 56′ 10″ O"
"Garbenheimer Wiesen",,"50° 34′ 19″ N, 8° 31′ 41″ O"
"Gedern",,"50° 26′ 59″ N, 9° 11′ 43″ O"
"Geilenkirchen",,"50° 57′ 42″ N, 6° 2′ 38″ O"
"Geitau",,"47° 41′ 0″ N, 11° 57′ 49″ O"
"Geratshof",,"47° 59′ 37″ N, 10° 50′ 43″ O"
"Gießen",,"50° 36′ 20″ N, 8° 44′ 5″ O"
"Grabenstetten",,"48° 32′ 13″ N, 9° 26′ 15″ O"
"Grambeker Heide",,"53° 34′ 58″ N, 10° 41′ 0″ O"
"Greding",,"49° 3′ 48″ N, 11° 17′ 33″ O"
"Greiling",,"47° 45′ 59″ N, 11° 35′ 58″ O"
"Grevenbroich",,"51° 4′ 47″ N, 6° 32′ 53″ O"
"Grifte (Edermünde)",,"51° 13′ 18″ N, 9° 26′ 52″ O"
"Große Höhe",,"52° 59′ 14″ N, 8° 34′ 25″ O"
"Große Wiese",,"52° 8′ 26″ N, 10° 34′ 8″ O"
"Großes Moor",,"52° 32′ 16″ N, 10° 1′ 21″ O"
"Grünstadt",,"49° 35′ 7″ N, 8° 7′ 51″ O"
"Gruibingen-Nortel",,"48° 37′ 20″ N, 9° 39′ 25″ O"
"Haiterbach-Nagold",,"48° 31′ 57″ N, 8° 40′ 40″ O"
"Hallertau",,"48° 39′ 2″ N, 11° 35′ 55″ O"
"Halver",,"51° 10′ 29″ N, 7° 30′ 46″ O"
"Hangensteiner Hof",,"48° 55′ 18″ N, 8° 49′ 29″ O"
"Haßloch",,"49° 21′ 21″ N, 8° 17′ 31″ O"
"Hayingen",,"48° 17′ 19″ N, 9° 27′ 45″ O"
"Heilbronn-Böckingen",,"49° 7′ 24″ N, 9° 11′ 2″ O"
"Heiligenberg",,"47° 50′ 0″ N, 9° 18′ 10″ O"
"Hellenhagen",,"52° 1′ 39″ N, 9° 34′ 17″ O"
"Hellingst",,"53° 22′ 35″ N, 8° 51′ 6″ O"
"Helmstedt",,"52° 14′ 12″ N, 10° 58′ 42″ O"
"Hengsen-Opherdicke",,"51° 28′ 30″ N, 7° 39′ 26″ O"
"Hermuthausen",,"49° 18′ 56″ N, 9° 44′ 45″ O"
"Hersbruck",,"49° 30′ 29″ N, 11° 27′ 4″ O"
"Hessisch-Lichtenau",,"51° 11′ 29″ N, 9° 45′ 0″ O"
"Hienheim",,"48° 52′ 43″ N, 11° 45′ 49″ O"
"Hilden-Kesselweier",,"51° 11′ 17″ N, 6° 58′ 33″ O"
"Hilzingen",,"47° 45′ 40″ N, 8° 46′ 7″ O"
"Hirzenhain",,"50° 48′ 7″ N, 8° 22′ 39″ O"
"Höpen",,"53° 8′ 54″ N, 9° 47′ 50″ O"
"Hörbach",,"50° 40′ 6″ N, 8° 15′ 38″ O"
"Hoherodskopf",,"50° 29′ 59″ N, 9° 13′ 0″ O"
"Holtorfsloh",,"53° 19′ 23″ N, 10° 4′ 31″ O"
"Homberg/Ohm",,"50° 44′ 53″ N, 9° 1′ 15″ O"
"Hornberg",,"48° 44′ 47″ N, 9° 51′ 50″ O"
"Hoya",,"52° 48′ 46″ N, 9° 9′ 48″ O"
"Hülben",,"48° 31′ 53″ N, 9° 24′ 5″ O"
"Hütten/Hotzenwald",,"47° 38′ 5″ N, 7° 56′ 32″ O"
"Huhnrain bei Poppenhausen",,"50° 29′ 27″ N, 9° 50′ 45″ O"
"Irsingen",,"49° 2′ 22″ N, 10° 30′ 16″ O"
"Iserlohn-Rheinermark",,"51° 25′ 48″ N, 7° 38′ 40″ O"
"Isny-Rotmoos",,"47° 42′ 6″ N, 10° 1′ 22″ O"
