"Name","ICAO","Location"
"Aachen-Merzbrück","EDKA","50° 49′ N, 6° 11′ O"
"Aalen-Heidenheim/Elchingen","EDPA","48° 47′ N, 10° 16′ O"
"Achmer","EDXA","52° 23′ N, 7° 55′ O"
"Ahrenlohe","EDHO","53° 42′ N, 9° 44′ O"
"Ailertchen","EDGA","50° 36′ N, 7° 57′ O"
"Albstadt-Degerfeld","EDSA","48° 15′ N, 9° 4′ O"
"Allendorf/Eder","EDFQ","51° 2′ N, 8° 41′ O"
"Allstedt","EDBT","51° 23′ N, 11° 27′ O"
"Altdorf-Wallburg","EDSW","48° 16′ N, 7° 51′ O"
"Altena-Hegenscheid","EDKD","51° 19′ N, 7° 42′ O"
"Leipzig-Altenburg","EDAC","50° 59′ N, 12° 30′ O"
"Ampfing-Waldkraiburg","EDNA","48° 16′ N, 12° 25′ O"
"Anklam","EDCA","53° 50′ N, 13° 40′ O"
"Ansbach-Petersdorf","EDQF","49° 22′ N, 10° 40′ O"
"Anspach/Taunus","EDFA","50° 17′ N, 8° 32′ O"
"Arnbruck","EDNB","49° 7′ N, 12° 59′ O"
"Arnsberg-Menden","EDLA","51° 29′ N, 7° 54′ O"
"Arnstadt-Alkersleben","EDBA","50° 51′ N, 11° 4′ O"
"Aschaffenburg","EDFC","49° 56′ N, 9° 4′ O"
"Aschersleben","EDCQ","51° 46′ N, 11° 30′ O"
"Attendorn-Finnentrop","EDKU","51° 9′ N, 7° 56′ O"
"Auerbach","EDOA","50° 30′ N, 12° 23′ O"
"Augsburg","EDMA","48° 26′ N, 10° 56′ O"
"Babenhausen","EDEF","49° 57′ N, 8° 58′ O"
"Backnang-Heiningen","EDSH","48° 55′ N, 9° 27′ O"
"Bad Berka","EDOB","50° 54′ N, 11° 16′ O"
"Bad Ditzenbach","EDPB","48° 34′ N, 9° 44′ O"
"Bad Dürkheim","EDRF","49° 28′ N, 8° 12′ O"
"Bad Frankenhausen","EDOF","51° 22′ N, 11° 8′ O"
"Bad Gandersheim","EDVA","51° 51′ N, 10° 2′ O"
"Bad Kissingen","EDFK","50° 13′ N, 10° 4′ O"
"Bad Langensalza","EDEB","51° 8′ N, 10° 37′ O"
"Bad Neuenahr-Ahrweiler","EDRA","50° 33′ N, 7° 8′ O"
"Bad Neustadt/Saale-Grasberg","EDFD","50° 18′ N, 10° 14′ O"
"Bad Sobernheim-Domberg","EDRS","49° 47′ N, 7° 40′ O"
"Bad Windsheim","EDQB","49° 31′ N, 10° 22′ O"
"Bad Wörishofen-Nord","EDNH","48° 1′ N, 10° 37′ O"
"Baden-Oos","EDTB","48° 48′ N, 8° 11′ O"
"Ballenstedt","EDCB","51° 45′ N, 11° 14′ O"
"Baltrum","EDWZ","53° 43′ N, 7° 22′ O"
"Bamberg-Breitenau","ETEJ","49° 55′ N, 10° 55′ O"
"Barßel","EDXL","53° 10′ N, 7° 48′ O"
"Bartholomä-Amalienhof","EDPU","48° 45′ N, 10° 0′ O"
"Bautzen","EDAB","51° 12′ N, 14° 31′ O"
"Bayreuth","EDQD","49° 54′ N, 11° 38′ O"
"Beilngries","EDNC","49° 1′ N, 11° 29′ O"
"Berching","EDNI","49° 8′ N, 11° 27′ O"
"Bergneustadt/Auf dem Dümpel","EDKF","51° 3′ N, 7° 42′ O"
"Betzdorf-Kirchen","EDKI","50° 49′ N, 7° 50′ O"
"Biberach a.d. Riß","EDMB","48° 7′ N, 9° 46′ O"
"Bielefeld","EDLI","51° 58′ N, 8° 33′ O"
"Bienenfarm","EDOI","52° 40′ N, 12° 45′ O"
"Binningen","EDSI","47° 48′ N, 8° 43′ O"
"Bitburg","EDRB","49° 57′ N, 6° 34′ O"
"Blaubeuren","EDMC","48° 25′ N, 9° 48′ O"
"Blomberg-Borkhausen","EDVF","51° 55′ N, 9° 7′ O"
"Blumberg","EDSL","47° 51′ N, 8° 34′ O"
"Böhlen","EDOE","51° 13′ N, 12° 22′ O"
"Bohmte-Bad Essen","EDXD","52° 21′ N, 8° 20′ O"
"Bonn-Hangelar","EDKB","50° 46′ N, 7° 10′ O"
"Bopfingen","EDNQ","48° 51′ N, 10° 20′ O"
"Bordelum","EDWA","54° 38′ N, 8° 56′ O"
"Borkenberge","EDLB","51° 47′ N, 7° 17′ O"
"Borken-Hoxfeld","EDLY","51° 51′ N, 6° 49′ O"
"Borkum","EDWR","53° 36′ N, 6° 43′ O"
"Bottenhorn","EDGT","50° 48′ N, 8° 27′ O"
"Brandenburg-Briest","EDUB","52° 26′ N, 12° 27′ O"
"Brandenburg-Mühlenfeld","EDBE","52° 26′ N, 12° 35′ O"
"Breitscheid","EDGB","50° 41′ N, 8° 10′ O"
"Bremerhaven","EDWB","53° 30′ N, 8° 34′ O"
"Bremgarten","EDTG","47° 54′ N, 7° 37′ O"
